load	friction	err
-4.34057	0.63154	0.0614
4.00668	1.00708	0.09158
12.35392	1.12192	0.09664
20.70117	1.24038	0.1145
29.04841	1.50307	0.12123
37.39566	1.55368	0.14472
45.7429	1.57956	0.14906
54.09015	1.59755	0.15628
62.4374	1.6168	0.13913
70.78464	1.63517	0.13848
79.13189	1.66546	0.12928
87.47913	1.73364	0.12492
